,Dia_C_Xdisp,Dia_C_Ydisp,LSP,timestamp
0,6.8,3.9,160.63803100585938,2018-01-18T06:00:49.330470
1,6.7,3.9,160.80728149414062,2018-01-18T06:00:45.930463
2,6.8,3.9,160.63803100585938,2018-01-18T06:01:00.330772
3,6.8,3.9,160.7508544921875,2018-01-18T06:00:11.829972
4,6.7,3.9,160.58160400390625,2018-01-18T06:00:52.630279
5,6.8,3.9,160.7132568359375,2018-01-18T06:00:31.630231
6,6.7,4.0,160.63803100585938,2018-01-18T06:00:51.530417
7,6.8,3.9,160.8825225830078,2018-01-18T06:00:30.529607
8,6.7,3.9,160.7132568359375,2018-01-18T06:00:57.030574
9,6.8,3.9,160.52517700195312,2018-01-18T06:02:03.431441
10,6.8,3.9,160.65682983398438,2018-01-18T06:02:01.231162
11,6.8,3.9,161.54080200195312,2018-01-18T06:01:48.031153
12,6.8,3.9,160.76966857910156,2018-01-18T06:01:29.231053
13,6.8,3.9,160.58160400390625,2018-01-18T06:01:02.530600
14,6.8,3.9,160.80728149414062,2018-01-18T06:01:10.530919
15,6.8,3.9,160.6944580078125,2018-01-18T06:01:09.430947
16,6.7,3.9,160.58160400390625,2018-01-18T06:01:44.730604
17,6.8,3.9,160.67564392089844,2018-01-18T06:01:28.130987
18,6.7,3.9,160.7320556640625,2018-01-18T06:02:32.231162
19,6.8,3.9,160.43113708496094,2018-01-18T06:02:36.631854
20,6.8,3.9,160.6192169189453,2018-01-18T06:02:25.631725
21,6.7,3.9,160.8825225830078,2018-01-18T06:02:17.831570
22,6.7,3.9,160.58160400390625,2018-01-18T06:02:14.531467
23,6.8,3.9,160.6192169189453,2018-01-18T06:02:34.431691
24,6.8,3.9,160.76966857910156,2018-01-18T06:02:38.831172
25,6.8,3.9,160.7320556640625,2018-01-18T06:02:10.031448
26,6.8,4.0,160.7508544921875,2018-01-18T06:02:13.431614
27,6.7,3.9,160.7508544921875,2018-01-18T06:03:05.731965
28,6.7,3.9,160.7508544921875,2018-01-18T06:03:27.332078
29,6.7,3.9,160.7132568359375,2018-01-18T06:03:17.132096
30,6.8,3.9,160.7132568359375,2018-01-18T06:03:43.032341
31,6.7,3.9,160.8260955810547,2018-01-18T06:03:58.932632
