,Dia_C_Xdisp,Dia_C_Ydisp,TC1_Temp_Z0,TC1_Temp_Z5,TC1_pressure_melt,TC1_temp_melt
0,4.0,4.1,152.1,174.8,176.2,177.5
1,4.0,4.1,152.1,174.7,183.2,177.5
2,4.0,4.0,149.8,174.6,184.9,177.4
3,4.0,4.0,150.4,174.6,184.0,177.3
4,4.0,4.0,151.5,174.6,182.3,177.3
5,4.0,4.1,151.8,174.7,182.3,177.4
6,4.0,4.0,151.6,174.6,182.3,177.3
7,4.0,4.0,151.7,174.7,182.3,177.4
8,4.0,4.0,152.1,174.7,183.2,177.5
9,4.0,4.1,152.0,174.7,182.3,177.4
10,4.0,4.1,151.5,174.7,181.5,177.4
11,4.0,4.1,148.8,174.6,194.4,177.7
12,4.0,4.1,147.5,174.6,197.9,178.2
13,4.0,4.1,148.3,174.6,197.8,177.8
14,4.0,4.0,148.4,174.6,197.9,177.9
15,4.0,4.1,148.9,174.6,190.1,177.5
16,4.0,4.0,147.7,174.6,197.9,178.1
17,4.0,4.0,147.2,174.7,198.7,178.2
18,4.0,4.0,147.5,174.6,197.9,178.1
19,4.0,4.0,149.2,174.6,185.8,177.4
20,4.0,4.1,147.1,174.7,200.5,178.3
21,4.0,4.1,147.3,174.8,200.7,178.3
22,2.9,3.0,146.9,174.8,201.3,178.2
23,4.0,4.1,147.3,174.7,199.5,178.2
24,4.0,4.1,147.4,174.9,182.3,177.7
25,4.0,4.3,147.0,174.9,176.3,177.6
26,4.0,4.1,147.2,175.0,171.1,177.5
27,4.0,4.1,147.3,175.0,174.5,177.6
28,4.0,4.1,147.5,175.0,173.7,177.5
29,4.0,4.1,148.2,175.0,168.3,177.7
30,4.0,4.1,147.2,175.0,170.2,177.6
31,4.0,4.1,147.6,175.0,167.6,177.9
32,4.0,4.1,148.4,175.0,167.9,177.6
33,4.0,4.1,148.6,175.0,167.6,177.5
34,4.0,4.1,147.6,175.0,168.1,177.9
35,4.0,4.1,147.6,175.0,168.1,177.9
36,4.0,4.1,148.7,175.0,167.6,177.6
37,4.0,4.1,147.2,175.0,170.2,177.6
38,4.0,4.1,149.9,175.0,165.9,177.4
39,4.0,4.1,149.9,175.0,165.9,177.4
40,4.0,4.1,148.5,175.0,166.8,177.5
41,4.0,4.1,149.9,175.0,165.9,177.4
42,4.0,4.1,149.4,175.0,165.9,177.4
43,4.0,4.1,149.9,175.0,165.9,177.4
44,4.0,4.1,149.0,175.0,165.9,177.4
45,4.0,4.1,148.8,175.0,165.9,177.4
46,4.0,4.1,148.6,175.0,166.8,177.4
47,4.0,4.1,150.4,175.0,165.9,177.5
48,4.0,4.1,151.8,175.0,166.8,177.2
49,4.0,4.1,150.3,175.0,165.9,177.5
50,4.0,4.1,151.2,175.0,166.8,177.4
51,4.0,4.1,151.6,175.0,166.8,177.3
52,4.0,4.1,150.2,175.0,165.9,177.5
53,4.0,4.1,150.9,175.0,166.1,177.5
54,4.0,4.1,150.6,175.0,165.9,177.5
55,4.0,4.1,150.9,175.0,166.0,177.5
56,4.0,4.1,151.7,175.0,166.8,177.0
57,4.0,4.1,151.7,175.0,166.8,176.9
58,4.0,4.1,151.7,175.0,166.8,176.7
59,4.0,4.1,151.9,175.0,166.8,176.6
60,4.0,4.1,151.7,175.0,166.8,177.1
61,4.0,4.1,151.9,175.0,166.8,176.6
62,4.0,4.1,151.9,175.0,165.9,176.3
63,4.0,4.1,151.7,175.0,166.8,176.9
64,4.0,4.1,151.8,175.0,166.8,176.7
65,4.0,4.1,152.1,175.0,165.7,175.6
66,4.0,4.1,151.6,174.9,165.0,175.5
67,4.0,4.1,152.1,175.0,165.0,175.7
68,4.0,4.1,152.1,175.0,165.3,175.7
69,4.0,4.1,151.8,175.0,165.9,175.9
70,4.0,4.1,151.8,174.9,165.0,175.5
71,4.0,4.1,151.6,174.9,165.0,175.6
72,4.0,4.1,151.9,174.9,165.9,176.2
73,4.0,4.1,151.7,175.0,165.9,176.0
74,4.0,4.1,151.3,174.9,165.0,175.7
75,4.0,4.1,151.4,174.9,165.0,175.6
76,4.0,4.1,150.9,174.8,165.9,176.1
77,4.0,4.1,151.7,174.9,165.4,175.9
78,4.0,4.1,151.4,174.9,165.8,175.7
79,4.0,4.1,150.7,174.7,165.9,176.0
80,4.0,4.1,151.5,174.9,165.9,176.0
81,4.0,4.1,151.7,174.9,165.0,175.9
82,4.0,4.1,151.6,174.9,165.2,175.9
83,4.0,4.1,150.3,174.7,165.0,175.9
84,4.0,4.1,149.4,174.7,164.4,175.7
85,4.0,4.1,149.2,174.7,164.2,175.7
86,4.0,4.1,150.3,174.7,165.2,175.9
87,4.0,4.1,149.5,174.7,165.0,175.7
88,4.0,4.1,149.8,174.7,165.0,175.8
