,日期,規格,雙輪引取,雷射計米,標準過尺機,中途停機次數,備註
,12月27日,XV 25^ *4C,100,100,99,,
,12月27日,XV 25^ *4C,200,199,199,,
,12月27日,XV 25^ *4C,300,299,299,,
,12月27日,XV 25^ *4C,400,399,398,,
,12月27日,XV 25^ *4C,500,499,498,,
,12月27日,XV 25^ *4C,600,599,598,,
,12月27日,XV 25^ *4C,700,699,697,,
,12月27日,XV 25^ *4C,800,799,797,,
,12月27日,XV 25^ *4C,900,899,897,,
,12月27日,XV 25^ *4C,1000,999,997,,
,12月27日,XV 25^ *4C,100,100,99,1,
,12月27日,XV 25^ *4C,200,200,199,0,
,12月27日,XV 25^ *4C,300,300,299,1,
,12月27日,XV 25^ *4C,400,400,399,0,
,12月27日,XV 25^ *4C,500,500,499,0,
,12月27日,XV 25^ *4C,600,600,598,1,
,12月27日,XV 25^ *4C,700,700,698,1,
,12月27日,XV 25^ *4C,800,800,798,0,
,12月27日,XV 25^ *4C,900,900,898,0,
,12月27日,XV 25^ *4C,1000,1000,997,0,
,12月27日,XV 25^ *4C,1100,1100,1097,1,
,12月27日,XV 25^ *4C,1200,1200,1197,0,
,12月27日,XV 25^ *4C,1300,1300,1296,0,
,12月27日,XV 25^ *4C,1400,1400,1396,1,
,12月27日,XV 25^ *4C,1500,1500,1495,0,
,12月27日,XV 25^ *4C,1600,1600,1595,0,
,12月27日,XV 25^ *4C,1700,1700,1694,0,
,12月27日,XV 25^ *4C,1800,1800,1794,1,
,12月27日,XV 25^ *4C,1900,1900,1893,0,
,12月27日,XV 25^ *4C,2000,2000,1993,0,
,12月27日,XV 25^ *4C,2100,2100,2092,0,
,12月27日,XV 25^ *4C,2200,2200,2192,0,
,12月27日,XV 25^ *4C,2300,2300,2291,0,
,12月27日,XV 25^ *4C,2400,2400,2390,0,
,12月27日,XV 25^ *4C,2500,2500,2490,1,
,12月27日,XV 25^ *4C,2600,2596,2589,1,
,12月27日,XV 25^ *4C,2700,2695,2688,1,
,12月27日,XV 25^ *4C,2800,2794,2786,1,
,12月27日,XV 25^ *4C,2900,2892,2885,0,
,12月27日,XV 25^ *4C,3000,2992,2984,0,
,12月27日,XV 25^ *4C,100,100,100,1,
,12月27日,XV 25^ *4C,200,200,200,0,
,12月27日,XV 25^ *4C,300,300,299,0,
,12月27日,XV 25^ *4C,400,400,399,0,
,12月27日,XV 25^ *4C,500,500,499,0,
,12月27日,XV 25^ *4C,600,600,599,0,
,12月27日,XV 25^ *4C,700,700,698,0,
,12月27日,XV 25^ *4C,800,800,798,0,
,12月27日,XV 25^ *4C,900,900,898,0,
,12月27日,XV 25^ *4C,1000,1000,998,1,
