,日期,規格,雙輪引取,雷射計米,標準過尺機,中途停機次數,備註
,1月3日,XV22^*3C,100,99.7,99.7,1,增加量測紀錄至小數點2位
,1月3日,XV22^*3C,200,199.5,199.4,1,
,1月3日,XV22^*3C,300,299.3,299.1,0,
,1月3日,XV22^*3C,400,399,398.81,1,
,1月3日,XV22^*3C,500,498.8,498.51,1,
,1月3日,XV22^*3C,600,598.6,598.22,0,
,1月3日,XV22^*3C,700,698.3,697.87,0,
,1月3日,XV22^*3C,800,798,797.45,2,
,1月3日,XV22^*3C,900,897.7,897.03,0,
,1月3日,XV22^*3C,1000,997.4,996.6,0,
,1月3日,XV22^*3C,100,99.7,99.7,1,
,1月3日,XV22^*3C,200,199.5,199.39,2,
,1月3日,XV22^*3C,300,299.2,299.1,0,
,1月3日,XV22^*3C,400,399,398.8,0,
,1月3日,XV22^*3C,500,498.8,498.49,0,
,1月3日,XV22^*3C,600,598.6,598.19,0,
,1月3日,XV22^*3C,700,698.3,697.82,0,
,1月3日,XV22^*3C,800,798,797.4,0,
,1月3日,XV22^*3C,900,897.6,896.61,3,
,1月3日,XV22^*3C,1000,997.3,996.52,0,
,1月3日,XV22^*3C,1100,1097,1096.11,0,
,1月3日,XV22^*3C,1200,1196.7,1195.72,0,
,1月3日,XV22^*3C,1300,1296.5,1295.34,1,
,1月3日,XV22^*3C,1400,1395.9,1394.62,0,
,1月3日,XV22^*3C,1500,1495.3,1493.9,0,
,1月3日,XV22^*3C,1600,1594.6,1593.18,1,
,1月3日,XV22^*3C,1700,1694,1692.46,0,
,1月3日,XV22^*3C,1800,1793.4,1791.72,0,
,1月3日,XV22^*3C,1900,1892.8,1890.99,0,
,1月3日,XV22^*3C,2000,1992.2,1990.31,0,
,1月3日,XV22^*3C,100,99.8,99.7,0,
,1月3日,XV22^*3C,200,198.5,199.41,0,
,1月3日,XV22^*3C,300,299.3,299.11,0,
,1月3日,XV22^*3C,400,399,398.81,1,
,1月3日,XV22^*3C,500,498.8,498.52,0,
,1月3日,XV22^*3C,600,598.5,598.22,0,
,1月3日,XV22^*3C,700,698.1,697.91,0,
,1月3日,XV22^*3C,800,797.8,797.52,0,
,1月3日,XV22^*3C,900,897.6,897.13,0,
,1月3日,XV22^*3C,1000,997.2,996.63,1,
,1月3日,XV22^*3C,1100,1096.9,1096.23,0,
,1月3日,XV22^*3C,1200,1196.6,1195.86,1,
,1月3日,XV22^*3C,1300,1296.3,1295.48,0,
,1月3日,XV22^*3C,1400,1395.9,1395,2,
,1月3日,XV22^*3C,1500,1495.4,1494.48,1,
,1月3日,XV22^*3C,1600,1595,1593.95,0,
,1月3日,XV22^*3C,1700,1694.6,1693.45,0,
,1月3日,XV22^*3C,1800,1794.1,1792.91,0,
,1月3日,XV22^*3C,1900,1893.7,1892.42,0,
,1月3日,XV22^*3C,2000,1993.2,1991.88,0,
,1月4日,VV14^*3C,100,100.1,99.72,,
,1月4日,VV14^*3C,200,200.2,199.45,,
,1月4日,VV14^*3C,300,300.3,299.17,,
,1月4日,VV14^*3C,400,400.4,398.92,,
,1月4日,VV14^*3C,500,500.5,498.64,,
,1月4日,VV14^*3C,600,600.6,598.37,,
,1月4日,VV14^*3C,700,700.7,698.18,,
,1月4日,VV14^*3C,800,800.8,798.03,,
,1月4日,VV14^*3C,900,901,897.91,,
,1月4日,VV14^*3C,1000,1001.1,997.78,,
