,日期,規格,雙輪引取,雷射計米,標準過尺機,中途停機次數,備註
,1月4日,VV14^*3C,100,100.1,99.72,,
,1月4日,VV14^*3C,200,200.2,199.45,,
,1月4日,VV14^*3C,300,300.3,299.17,,
,1月4日,VV14^*3C,400,400.4,398.92,,
,1月4日,VV14^*3C,500,500.5,498.64,,
,1月4日,VV14^*3C,600,600.6,598.37,,
,1月4日,VV14^*3C,700,700.7,698.18,,
,1月4日,VV14^*3C,800,800.8,798.03,,
,1月4日,VV14^*3C,900,901,897.91,,
,1月4日,VV14^*3C,1000,1001.1,997.78,,
,1月4日,VV14^*3C,1100,101.4,1097.66,,
,1月4日,VV14^*3C,1200,1201.8,1197.52,,
,1月4日,VV14^*3C,1300,1302,1297.34,,
,1月4日,VV14^*3C,1400,1401.9,1396.96,,
,1月4日,VV14^*3C,1500,1501.8,1496.55,,
,1月4日,VV14^*3C,1600,1601.7,1596.15,,
,1月4日,VV14^*3C,1700,1701.6,1695.75,,
,1月4日,VV14^*3C,1800,1801.6,1795.34,,
,1月4日,VV14^*3C,1900,1901.5,1894.43,,
,1月4日,VV14^*3C,2000,2001.4,1994.5,,
,1月4日,VV14^*3C,2100,2101.2,2094.08,,
,1月4日,VV14^*3C,2200,2200.9,2193.69,,
,1月4日,VV14^*3C,2300,2300.7,2293.29,,
,1月4日,VV14^*3C,2400,2400.4,2392.88,,
,1月4日,VV14^*3C,2500,2500.1,2492.47,,
,1月4日,VV14^*3C,2600,2599.8,2592.07,,
,1月4日,VV14^*3C,2700,2697.9,2690.12,,
,1月5日,VV14^*3C,2800,2796.8,2788.83,,轉速40%
,1月5日,VV14^*3C,2900,2895.6,2887.29,,轉體轉速提升至60%
,1月5日,VV14^*3C,3000,2996.3,2987.69,,
,1月5日,VV14^*3C,3100,3097.4,3088.46,,
,1月5日,VV14^*3C,3200,3198.5,3189.32,,
,1月5日,VV14^*3C,3300,3299.5,3290.14,,
,1月5日,VV14^*3C,3400,3400.6,3390.97,,
,1月5日,VV14^*3C,3500,3501.7,3491.81,,
,1月5日,VV14^*3C,3600,3602.7,3592.59,,
,1月5日,VV14^*3C,3700,3703.8,3693.38,,
,1月5日,VV14^*3C,3800,3804.8,3794.2,,
,1月5日,VV14^*3C,3900,3905.9,3895.01,,
,1月5日,VV14^*3C,4000,4007,3995.85,,
,1月5日,VV14^*3C,4100,4108.1,4096.71,,
,1月5日,VV14^*3C,4200,4209.7,4197.56,,
,1月5日,VV14^*3C,4300,4311.3,4298.43,,
,1月5日,VV14^*3C,4400,4412.9,4399.27,,
,1月5日,VV14^*3C,4500,4514.3,4500.05,,
,1月5日,VV14^*3C,4600,4615.8,4600.8,,
,1月5日,VV14^*3C,4700,4717.3,4701.6,,
,1月5日,VV14^*3C,4800,4817.9,4802.28,1,
,1月5日,VV14^*3C,4900,4918.6,4903.11,,
,1月5日,VV14^*3C,5000,5019.3,5003.97,,
